Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	1.47961	1.04946	2
1	50001	1.29528	1.04946	2
1	100001	1.04946	1.04946	2
1	150001	-1	1.04946	2
1	200001	-1	1.04946	2
1	250001	-1	1.04946	2
1	300001	-1	1.04946	2
1	350001	0.962842	1.04946	2
1	400001	0.52794	1.04946	2
1	450001	-1	-1	2
1	500001	-1	-1	2
1	550001	3.24497	3.24497	6
1	600001	1.04982	1.04982	2
1	650001	0.827687	1.04982	2
1	700001	1.46847	1.04982	2
1	750001	1.01828	1.04982	2
1	800001	1.92942	1.04982	2
1	850001	0.301285	0.427831	1
1	900001	0.240006	0.427831	1
1	950001	0.163865	0.427831	1
1	1000001	0.491445	0.427831	1
1	1050001	0.346542	0.427831	1
1	1100001	0.355406	0.427831	1
1	1150001	0.128743	0.427831	1
1	1200001	0.262034	0.427831	1
1	1250001	0.10584	0.427831	1
1	1300001	0.604741	0.427831	1
1	1350001	0.39341	0.427831	1
1	1400001	0.445209	0.427831	1
1	1450001	0.384529	0.427831	1
1	1500001	0.492211	0.427831	1
1	1550001	0.384581	0.427831	1
1	1600001	0.552768	0.427831	1
1	1650001	0.46113	0.427831	1
1	1700001	0.735984	0.427831	1
1	1750001	0.893945	0.427831	1
1	1800001	0.830156	0.427831	1
1	1850001	0.397476	0.427831	1
1	1900001	0.571652	0.427831	1
1	1950001	0.15327	0.427831	1
1	2000001	0.276893	0.427831	1
1	2050001	0.641693	0.427831	1
1	2100001	0.443895	0.427831	1
1	2150001	0.766879	0.427831	1
1	2200001	0.197382	0.427831	1
1	2250001	0.584228	0.427831	1
1	2300001	0.461161	0.427831	1
1	2350001	0.217033	0.427831	1
1	2400001	0.05267	0.427831	1
1	2450001	0.314595	0.427831	1
1	2500001	0.924149	0.427831	1
1	2550001	1.03539	0.427831	1
1	2600001	-1	0.427831	1
1	2650001	-1	0.427831	1
1	2700001	0.399298	0.427831	1
1	2750001	0.636005	0.427831	1
1	2800001	0.36589	0.427831	1
1	2850001	0.63139	0.427831	1
1	2900001	0.630181	0.427831	1
1	2950001	0.675389	0.427831	1
1	3000001	0.180651	0.427831	1
1	3050001	0.215355	0.427831	1
1	3100001	0.199968	0.427831	1
1	3150001	0.584582	0.427831	1
1	3200001	0.396144	0.427831	1
1	3250001	0.507605	0.427831	1
1	3300001	0.595115	0.427831	1
1	3350001	0.427831	0.427831	1
1	3400001	0.155388	0.427831	1
1	3450001	0.252332	0.427831	1
1	3500001	0.584032	0.427831	1
1	3550001	0.461496	0.427831	1
1	3600001	0.293783	0.427831	1
1	3650001	1.0528	0.427831	1
1	3700001	0.74762	0.427831	1
1	3750001	0.837436	0.427831	1
1	3800001	-1	0.427831	1
1	3850001	-1	0.427831	1
1	3900001	0	0.427831	1
1	3950001	0.179519	0.427831	1
1	4000001	0.981397	0.866343	2
1	4050001	0.896304	0.866343	2
1	4100001	0.502964	0.866343	2
1	4150001	0.681194	0.866343	2
1	4200001	0.766169	0.866343	2
1	4250001	0.878635	0.866343	2
1	4300001	1.11467	0.866343	2
1	4350001	0.82074	0.866343	2
1	4400001	1.1802	0.866343	2
1	4450001	1.22388	0.866343	2
1	4500001	0.934614	0.866343	2
1	4550001	0.835929	0.866343	2
1	4600001	0.910693	0.866343	2
1	4650001	1.00728	0.866343	2
1	4700001	0.833294	0.866343	2
1	4750001	0.432979	0.866343	2
1	4800001	0.776559	0.866343	2
1	4850001	0.916278	0.866343	2
1	4900001	0.936499	0.866343	2
1	4950001	0.931444	0.866343	2
1	5000001	0.772039	0.866343	2
1	5050001	1.08812	0.866343	2
1	5100001	0.80189	0.866343	2
1	5150001	0.862671	0.866343	2
1	5200001	1.22197	0.866343	2
1	5250001	0.874805	0.866343	2
1	5300001	-1	0.866343	2
1	5350001	-1	0.866343	2
1	5400001	0.837848	0.866343	2
1	5450001	1.29952	0.866343	2
1	5500001	0.837169	0.866343	2
1	5550001	0.738987	0.866343	2
1	5600001	1.15391	0.866343	2
1	5650001	0.714943	0.866343	2
1	5700001	1.72362	0.866343	2
1	5750001	0.955902	0.866343	2
1	5800001	1.03298	0.866343	2
1	5850001	0.83389	0.866343	2
1	5900001	0.330442	0.866343	2
1	5950001	0.719911	0.866343	2
1	6000001	0.866343	0.866343	2
1	6050001	0.830188	0.866343	2
1	6100001	0.860962	0.866343	2
1	6150001	0.508042	0.866343	2
1	6200001	0.568614	0.866343	2
1	6250001	1.01845	0.866343	2
1	6300001	0.345252	0.866343	2
1	6350001	0.722413	0.866343	2
1	6400001	0.50059	0.866343	2
1	6450001	0.650747	0.866343	2
1	6500001	0.444754	0.866343	2
1	6550001	1.03471	0.866343	2
1	6600001	0.743186	0.866343	2
1	6650001	0.601884	0.866343	2
1	6700001	0.737377	0.866343	2
1	6750001	0.636694	0.866343	2
1	6800001	0.905761	0.866343	2
1	6850001	0.881873	0.866343	2
1	6900001	1.16029	0.866343	2
1	6950001	0.742085	0.866343	2
1	7000001	0.7955	0.866343	2
1	7050001	0.879043	0.866343	2
1	7100001	0.803556	0.866343	2
1	7150001	0.779973	0.866343	2
1	7200001	0.70381	0.866343	2
1	7250001	0.732822	0.866343	2
1	7300001	0.893758	0.866343	2
1	7350001	0.882349	0.866343	2
1	7400001	0.615782	0.866343	2
1	7450001	0.692825	0.866343	2
1	7500001	0.668112	0.866343	2
1	7550001	0.566308	0.866343	2
1	7600001	0.818257	0.866343	2
1	7650001	0.888768	0.866343	2
1	7700001	0.437849	0.866343	2
1	7750001	0.991865	0.866343	2
1	7800001	0.932928	0.866343	2
1	7850001	1.36339	0.866343	2
1	7900001	0.884143	0.866343	2
1	7950001	1.00707	0.866343	2
1	8000001	0.905529	0.866343	2
1	8050001	0.935093	0.866343	2
1	8100001	1.31188	0.866343	2
1	8150001	1.17264	0.866343	2
1	8200001	0.808164	0.866343	2
1	8250001	0.616423	0.866343	2
1	8300001	1.4427	0.866343	2
1	8350001	0.707752	0.866343	2
1	8400001	0.512606	0.866343	2
1	8450001	0.951575	0.866343	2
1	8500001	0.883508	0.866343	2
1	8550001	0.922316	0.866343	2
1	8600001	1.08537	0.866343	2
1	8650001	1.00625	0.866343	2
1	8700001	1.09339	0.866343	2
1	8750001	0.716271	0.866343	2
1	8800001	1.41024	0.866343	2
1	8850001	1.12221	0.866343	2
1	8900001	0.529356	0.866343	2
1	8950001	1.28264	0.866343	2
1	9000001	0.860346	0.866343	2
1	9050001	0.880799	0.866343	2
1	9100001	1.01707	0.866343	2
1	9150001	1.09905	0.866343	2
1	9200001	1.03051	0.866343	2
1	9250001	1.03517	0.866343	2
1	9300001	0.697205	0.866343	2
1	9350001	0.63873	0.866343	2
1	9400001	0.394276	0.866343	2
1	9450001	1.46279	0.866343	2
1	9500001	0.697032	0.866343	2
1	9550001	0.946159	0.866343	2
1	9600001	0.754943	0.866343	2
1	9650001	0.534785	0.866343	2
1	9700001	0.742524	0.866343	2
1	9750001	0.431204	0.866343	2
1	9800001	1.12842	0.866343	2
1	9850001	0.825667	0.866343	2
1	9900001	0.490951	0.866343	2
1	9950001	0.953404	0.866343	2
1	10000001	0.931991	0.866343	2
1	10050001	0.818688	0.866343	2
1	10100001	1.10236	0.866343	2
1	10150001	1.01991	0.866343	2
1	10200001	0.701325	0.866343	2
1	10250001	0.717815	0.866343	2
1	10300001	0.757874	0.866343	2
