Chromosome	Start	Ratio	MedianRatio	CopyNumber
2	1	0.918034	0.961915	2
2	50001	0.932826	0.961915	2
2	100001	0.967871	0.961915	2
2	150001	1.05203	0.961915	2
2	200001	1.05845	0.961915	2
2	250001	1.07631	0.961915	2
2	300001	0.802574	0.961915	2
2	350001	1.175	0.961915	2
2	400001	1.00408	0.961915	2
2	450001	0.908467	0.961915	2
2	500001	1.05026	0.961915	2
2	550001	0.772649	0.961915	2
2	600001	0.931937	0.961915	2
2	650001	0.816478	0.961915	2
2	700001	0.615518	0.961915	2
2	750001	0.997076	0.961915	2
2	800001	0.94056	0.961915	2
2	850001	1.11532	0.961915	2
2	900001	0.808822	0.961915	2
2	950001	1.08532	0.961915	2
2	1000001	1.36925	0.961915	2
2	1050001	0.884648	0.961915	2
2	1100001	0.872278	0.961915	2
2	1150001	0.942579	0.961915	2
2	1200001	1.00603	0.961915	2
2	1250001	1.08424	0.961915	2
2	1300001	0.71036	0.961915	2
2	1350001	0.967171	0.961915	2
2	1400001	0.643856	0.961915	2
2	1450001	0.90092	0.961915	2
2	1500001	0.834005	0.961915	2
2	1550001	0.90065	0.961915	2
2	1600001	0.702729	0.961915	2
2	1650001	0.393964	0.961915	2
2	1700001	0.577931	0.961915	2
2	1750001	0.839772	0.961915	2
2	1800001	0.672242	0.961915	2
2	1850001	1.00891	0.961915	2
2	1900001	0.548676	0.961915	2
2	1950001	0.940479	0.961915	2
2	2000001	1.00953	0.961915	2
2	2050001	1.06085	0.961915	2
2	2100001	1.17525	0.961915	2
2	2150001	0.934171	0.961915	2
2	2200001	0.931822	0.961915	2
2	2250001	1.27919	0.961915	2
2	2300001	1.04245	0.961915	2
2	2350001	1.00566	0.961915	2
2	2400001	0.898846	0.961915	2
2	2450001	0.790903	0.961915	2
2	2500001	0.915258	0.961915	2
2	2550001	0.977673	0.961915	2
2	2600001	0.853521	0.961915	2
2	2650001	0.826889	0.961915	2
2	2700001	1.2045	0.961915	2
2	2750001	0.613942	0.961915	2
2	2800001	1.19263	0.961915	2
2	2850001	0.732888	0.961915	2
2	2900001	0.948687	0.961915	2
2	2950001	1.01543	0.961915	2
2	3000001	1.23978	0.961915	2
2	3050001	1.01119	0.961915	2
2	3100001	0.657097	0.961915	2
2	3150001	0.762422	0.961915	2
2	3200001	0.9613	0.961915	2
2	3250001	0.971047	0.961915	2
2	3300001	0.689959	0.961915	2
2	3350001	0.876572	0.961915	2
2	3400001	0.707472	0.961915	2
2	3450001	0.608097	0.961915	2
2	3500001	-1	0.961915	2
2	3550001	0.502231	0.961915	2
2	3600001	0.944455	0.961915	2
2	3650001	0.810898	0.961915	2
2	3700001	0.717733	0.961915	2
2	3750001	1.13107	0.961915	2
2	3800001	0.838372	0.961915	2
2	3850001	1.00199	0.961915	2
2	3900001	1.03116	0.961915	2
2	3950001	0.93106	0.961915	2
2	4000001	1.00945	0.961915	2
2	4050001	1.15108	0.961915	2
2	4100001	1.16282	0.961915	2
2	4150001	1.18845	0.961915	2
2	4200001	0.955925	0.961915	2
2	4250001	0.745835	0.961915	2
2	4300001	1.01333	0.961915	2
2	4350001	1.13706	0.961915	2
2	4400001	0.95868	0.961915	2
2	4450001	0.800957	0.961915	2
2	4500001	0.922669	0.961915	2
2	4550001	0.904373	0.961915	2
2	4600001	0.781868	0.961915	2
2	4650001	1.08522	0.961915	2
2	4700001	0.926783	0.961915	2
2	4750001	1.02305	0.961915	2
2	4800001	1.10567	0.961915	2
2	4850001	0.93546	0.961915	2
2	4900001	1.07724	0.961915	2
2	4950001	-1	0.961915	2
2	5000001	-1	0.961915	2
2	5050001	-1	0.961915	2
2	5100001	0.514216	0.961915	2
2	5150001	1.14495	0.961915	2
2	5200001	0.965646	0.961915	2
2	5250001	1.2003	0.961915	2
2	5300001	1.20164	0.961915	2
2	5350001	0.765429	0.961915	2
2	5400001	0.655365	0.961915	2
2	5450001	0.798349	0.961915	2
2	5500001	1.00872	0.961915	2
2	5550001	0.896859	0.961915	2
2	5600001	0.959093	0.961915	2
2	5650001	0.908091	0.961915	2
2	5700001	0.871673	0.961915	2
2	5750001	1.62516	0.961915	2
2	5800001	1.0089	0.961915	2
2	5850001	0.99006	0.961915	2
2	5900001	1.02785	0.961915	2
2	5950001	1.04585	0.961915	2
2	6000001	0.886249	0.961915	2
2	6050001	0.934741	0.961915	2
2	6100001	0.978213	0.961915	2
2	6150001	0.872063	0.961915	2
2	6200001	0.830608	0.961915	2
2	6250001	1.05811	0.961915	2
2	6300001	0.849065	0.961915	2
2	6350001	0.7662	0.961915	2
2	6400001	0.92208	0.961915	2
2	6450001	1.23215	0.961915	2
2	6500001	0.998574	0.961915	2
2	6550001	0.850943	0.961915	2
2	6600001	0.782633	0.961915	2
2	6650001	0.906051	0.961915	2
2	6700001	1.22793	0.961915	2
2	6750001	0.98631	0.961915	2
2	6800001	0.956944	0.961915	2
2	6850001	0.729577	0.961915	2
2	6900001	0.886078	0.961915	2
2	6950001	0.696633	0.961915	2
2	7000001	1.05327	0.961915	2
2	7050001	0.857736	0.961915	2
2	7100001	0.876544	0.961915	2
2	7150001	0.847392	0.961915	2
2	7200001	0.727449	0.961915	2
2	7250001	1.27024	0.961915	2
2	7300001	0.924678	0.961915	2
2	7350001	1.25916	0.961915	2
2	7400001	1.12669	0.961915	2
2	7450001	0.744412	0.961915	2
2	7500001	1.07333	0.961915	2
2	7550001	0.879531	0.961915	2
2	7600001	0.835338	0.961915	2
2	7650001	0.829261	0.961915	2
2	7700001	1.00966	0.961915	2
2	7750001	0.925714	0.961915	2
2	7800001	1.10032	0.961915	2
2	7850001	0.94791	0.961915	2
2	7900001	1.04826	0.961915	2
2	7950001	0.767803	0.961915	2
2	8000001	1.06419	0.961915	2
2	8050001	1.24797	0.961915	2
